name,sku,buy_url,image_url,description_long,price,in_stock,manufacturer,
Rosemary Tulip Egg Objet,SDH1904-256,https://www.jaystrongwater.com/view-all-figurines/rosemary-tulip-egg-objet-sdh1904-256,https://www.jaystrongwater.com/img/product/SDH1904-256_1-Z.jpg?fv=B5AE9F0A683E086C1902915C4F1BE0E5-85856,This magnificent collectable objet began as a rough sketch of an egg covered in blossoming tulips that would open to reveal an adorable little chick. For months this concept slowly came to life in carved clay models depicting the dimensional flowers engraved on the outside of the egg resting on the twig base. Multiple molds were made - and the final design was poured in pewter and finished in 14K Gold. Our finest artisans at the Jay Strongwater Rhode Island workshop paint layers of translucent enamels to depict the vibrant tulips in shades of magenta - cerise - lemon and chartreuse- each petal and leaf is highlighted with hand-set Swarovski crystals. Inside - the cute chick stands on a verdant green hill with a small butterfly at his foot. The Rosemary Tulip Egg Objet is limited to an edition of 250.,3800,In Stock,Jay Strongwater,
Aidan Braided 8in x 10in Frame,SPF5817-274,https://www.jaystrongwater.com/view-all-frames/aidan-braided-8-x-10-frame-spf5817-274,https://www.jaystrongwater.com/img/product/SPF5817-274_1-Z.jpg?fv=D5AF54E222A275DC970F739A4E6E4857-116094,A classic braided frame in pewter with a 14K gold finish - enameled in translucent amber hues. Each Aidan Braided 8in x 10in Frame is handmade in Rhode Island and New York.,1450,In Stock,Jay Strongwater,
Hadley Leaf & Vine Gilded  Glass Jar,SDH2406-292,https://www.jaystrongwater.com/vases-bowls/hadley-leaf-vine-gilded-glass-jar-sdh2406-292,https://www.jaystrongwater.com/img/product/SDH2406-292-Z.jpg?fv=A5D2C01E3EC01E300053D94F8870862B-87713,Make a Hadley Leaf & Vine Gilded Glass Jar part of an opulent cornucopia celebrating the start of a fruitful holiday season. Your table will be overflowing when accented with an exuberant mix of our golden decor—each piece mouth-blown in gold-shaded glass. ,725,In Stock,Jay Strongwater,
Erin Leaf & Vine Gilded Large Glass Jar,SDH2452-292,https://www.jaystrongwater.com/entertaining/erin-leaf-vine-gilded-large-glass-jar-sdh2452-292,https://www.jaystrongwater.com/img/product/SDH2452-292_alt-Z.jpg?fv=0A365D53FAB54EFC3D4C8E88E582B1AD-90785, Make an Erin Leaf & Vine Gilded Large Glass Jar part of an opulent cornucopia celebrating the start of a fruitful holiday season. Your table will be overflowing when accented with an exuberant mix of our golden decor—each piece mouth-blown in gold-shaded glass.,1100,In Stock,Jay Strongwater,
Genevieve Grand Floral Chest,SDH7317-284,https://www.jaystrongwater.com/boxes/genevieve-grand-floral-chest-sdh7317-284,https://www.jaystrongwater.com/img/product/SDH7317-284_1-Z.jpg?fv=774BE052A4F6583624791E854CB88B9C-111335,A profusion of tulips - irises - and peonies adorn the Genevieve Grand Floral Chest. A celebration of craftsmanship - this design began in our New York studio by carving each of the thirty flowers blooming on the lid. A delicate lace pattern of leaves forms the sides of the box. In total - twenty separate metal castings are soldered together to form the piece. Finished in antiqued - hand-rubbed brass - with delicately applied enamels; each box is the result of many talented artisans in our New York workshop working for weeks. In the final stage - more than 1600 crystals in delft garden shades are individually hand-set.,7900,In Stock,Jay Strongwater,
Ox Figurine - Natural,SDH1740-280,https://www.jaystrongwater.com/highland/ox-figurine-natural-sdh1740-280,https://www.jaystrongwater.com/img/product/SDH1740-280_1-Z.jpg?fv=4A1D4FFAE601E32E2C41549A8A8DECAD-64510,Embellish your world with Jay Strongwater’s signature style. The Ox Figurine is deftly hand-enameled and hand-set with Swarovski® crystals by skilled artisans.,1200,In Stock,Jay Strongwater,
Angel Figurine,SDH1739-232,https://www.jaystrongwater.com/holiday-1/angel-figurine-sdh1739-232,https://www.jaystrongwater.com/img/product/SDH1739-232_01-Z.jpg?fv=5D374CA0CEF7E0C9FD2712639FCE66B7-76408, Glorious icons exemplify the best of Jay Strongwater—flawless craftsmanship from our artisans—to be shared with generations to come. The Angel Figurine’s flowing robes are highlighted in gold and crème enamel. ,2000,In Stock,Jay Strongwater,
Cleo Leaf & Flower Mini Vase,SDH6622-289,https://www.jaystrongwater.com/vases-bowls/cleo-leaf-flower-mini-vase-sdh6622-289,https://www.jaystrongwater.com/img/product/SDH6622-289_1-Z.jpg?fv=CAE8481DBF7F66E195D3B188EA60272C-84187,Accent your fall decor with the exquisite details of our Cleo Leaf & Flower Mini Vase. Glass in warm earthen hues is embellished with vibrant - hand-enameled metal accents in rich jewel tones; hand-set Swarovski® crystal details; and 14K gold finishes.,225,In Stock,Jay Strongwater,
Diego Floral Cheese Board,SDH2333-256,https://www.jaystrongwater.com/entertaining/diego-floral-cheese-board-sdh2333-256,https://www.jaystrongwater.com/img/product/SDH2333-256_w-Z.jpg?fv=26F38BABE4D99C3FA0B811DC6CE0884F-82271,Embellish your world with Jay Strongwater’s signature style. Our Diego Floral Cheese Board is the perfect addition to the sophisticated kitchen!,1400,In Stock,Jay Strongwater,
Floral Oval Tray,SDH2410-289,https://www.jaystrongwater.com/entertaining/floral-oval-tray-sdh2410-289,https://www.jaystrongwater.com/img/product/SDH2410-289_w-Z.jpg?fv=EE3103BC1CCA6103466FB0FD44FCA27C-43056,This Floral Tray is the perfect setting for your perfume bottles - vanity jars and assorted trinkets. The talent of our finest artisans at the Jay Strongwater Rhode Island workshop truly shines. ,3000,In Stock,Jay Strongwater,
W Charm,SJ9229-256,https://www.jaystrongwater.com/chains-charms/w-charm-sj9229-256,https://www.jaystrongwater.com/img/product/SJ9229-256_1-Z.jpg?fv=ED44636CE02951B29DA3B61079F549DF-50352,Whether your name is Alice - Betty - Carol or Zoe - we have a charm just for you. In our first collection of alphabet charms - all 26 letters have been individually carved with delicate leaves and flowers woven around antique-inspired letters finished in 18K gold. Of course - the backs are just as beautiful as the fronts: On the W Charm - you’ll find a sweet jeweled flower. Each one is beautifully packaged in a fine jeweler’s box for gift-giving perfection.,95,In Stock,Jay Strongwater,
Large Angel Figurine,SDH1773-232,https://www.jaystrongwater.com/holiday-1/large-angel-figurine-sdh1773-232,https://www.jaystrongwater.com/img/product/SDH1773-232_w-Z.jpg?fv=B5620ED846E55259DA8BD3DF082EDF7A-61804, Glorious icons exemplify the best of Jay Strongwater—flawless craftsmanship from our artisans—to be shared with generations to come. The Rejoicing Angel Figurine’s flowing robes are highlighted in rose and golden enamels. ,3400,In Stock,Jay Strongwater,
Reed Feather 5in x 7in Frame,SPF5810-280,https://www.jaystrongwater.com/highland/reed-feather-5-x-7-frame-spf5810-280,https://www.jaystrongwater.com/img/product/SPF5810-280_1-Z.jpg?fv=3FADFEC1077ED6CC215BF8EEB772174A-160186,Inspired by the texture and patterns of owl feathers - our Reed Feather 5in x 7in Frame is set in pewter with a 14K gold finish. Handcrafted in Rhode Island and New York.,1295,In Stock,Jay Strongwater,
Veronique Floral and Scroll Mirror Tray,SDH8861-281,https://www.jaystrongwater.com/entertaining/veronique-floral-and-scroll-mirror-tray-sdh8861-281,https://www.jaystrongwater.com/img/product/SDH8861-281_w-Z.jpg?fv=25D9437DD472EAE9BDBCF7C1A5674FB9-43117, Inspired by an antique Art Nouveau mirror - this mirror tray features a sweeping motion of romantic flowers adorning the edges of the large beveled glass mirror tray.,2800,In Stock,Jay Strongwater,
Holy Family,SDH1880-292,https://www.jaystrongwater.com/holiday-1/holy-family-sdh1880-292,https://www.jaystrongwater.com/img/product/SDH1880-292_1-Z.jpg?fv=567A2EC0790F74FE5CDE147B99C4DB41-66125,Our Gilded Nativity—a new introduction for us—began by sculpting each figurine’s fluid draping in clay - followed by forging in solid pewter with a heightened focus on engraved textures and finely detailed - raised decorations. Artisans individually polish each Holy Family figurine before burnishing with two metal patinas: first - antiqued silver for select lustre highlights - and then the final gilding in antiqued 18K gold—a challenging process for our master craftsmen in Rhode Island.,1650,In Stock,Jay Strongwater,
Kayla Flip Mirror,SDH8884-281,https://www.jaystrongwater.com/wedding/kayla-flip-mirror-sdh8884-281,https://www.jaystrongwater.com/img/product/SDH8884-281_1-Z.jpg?fv=74AFDD75C88DDEFC94EC4E10000405FA-90510,A breathtaking moment – the Kayla butterfly and floral mirror is a very personal expression of our love to create designs that bring a stunning romance to your home. The sweeping stand of flora and fauna elegantly embracing the engraved framed turning mirror. Carved in multiple parts of pewter - hand-polished and finished in 18K Gold. Hand-painted washes of blush and opal pink enamels accentuate the fine textures on each leaf - flower and butterfly. Hand-set with over one thousand Swarovski crystals in twinkling shades of silk - antique rose and opal. The talent of our finest artisans at the Jay Strongwater Rhode Island workshop truly shines.,6400,In Stock,Jay Strongwater,
Francis Jeweled Cross,SDH1910-250,https://www.jaystrongwater.com/holiday-1/francis-jeweled-cross-sdh1910-250,https://www.jaystrongwater.com/img/product/SDH1910-250-Z.jpg?fv=EC03F6F7CD1D95B66ED641D9F82115D0-70293, Glorious icons exemplify the best of Jay Strongwater - flawless craftsmanship from our Rhode Island artisans - to be shared with generations to come. The Francis Jeweled Cross is meticulously carved in scrolling patterns of hand-set jewel-tone Swarovski crystals and centered with an impressive faceted emerald cut crystal stone in a ruby color. Set on a topaz enameled base and finished with ruby enamel on the back.,895,In Stock,Jay Strongwater,
Santa's Musical Workshop Figurine,SDH1892-250,https://www.jaystrongwater.com/holiday-1/santa-s-musical-workshop-figurine-sdh1892-250,https://www.jaystrongwater.com/img/product/SDH1892-250_Front-Z.jpg?fv=A557F7860EB0B62E14658C22DD717AB5-117979,Our artistry shines with an old-fashioned jeweled Santa creating toys in his festive workshop. The musical box inside plays “Here Comes Santa Claus”. Our finest artisans in Rhode Island craft each limited-edition Santa’s Musical Workshop Figurine. Hand-painted and hand-set with Swarovski® crystals. Music movement from Reuge in Switzerland.,3800,In Stock,Jay Strongwater,
Genevieve Grand Floral Chest,SDH7317-284,https://www.jaystrongwater.com/masterpieces/genevieve-grand-floral-chest-sdh7317-284,https://www.jaystrongwater.com/img/product/SDH7317-284_1-Z.jpg?fv=774BE052A4F6583624791E854CB88B9C-111335,A profusion of tulips - irises - and peonies adorn the Genevieve Grand Floral Chest. A celebration of craftsmanship - this design began in our New York studio by carving each of the thirty flowers blooming on the lid. A delicate lace pattern of leaves forms the sides of the box. In total - twenty separate metal castings are soldered together to form the piece. Finished in antiqued - hand-rubbed brass - with delicately applied enamels; each box is the result of many talented artisans in our New York workshop working for weeks. In the final stage - more than 1600 crystals in delft garden shades are individually hand-set.,7900,In Stock,Jay Strongwater,
Jessa Vine Floral Small Bowl,SDH2436-295,https://www.jaystrongwater.com/wedding/jessa-vine-floral-small-bowl-sdh2436-295,https://www.jaystrongwater.com/img/product/SDH2436-295_1-Z.jpg?fv=E7CA0D76D2B0E8E1C76BFC5837CF87DF-53450,With gilded grace - this lusciously handmade treasure is designed to be cherished. Lush - exuberant florals are hand-painted in mixed metallics on fluted - gold-edged glassware from Poland. Each Jessa Vine Floral Small Bowl is decorated by hand and set with sparkling Swarovski® crystals.,195,In Stock,Jay Strongwater,
Leland Pave Corner 2in Square Frame,SPF5130-284,https://www.jaystrongwater.com/indigo/leland-pave-corner-2-square-frame-spf5130-284,https://www.jaystrongwater.com/img/product/SPF5130-284_1-Z.jpg?fv=E7C0E062770C5F2B0E604B2F20440023-76322,Welcome a new season with this fresh palette of translucent blues mixed with white. A charming composition of metal - enamel - and crystals in delft garden hues graces the Leland Pavé Corner 2in Square Frame.,100,In Stock,Jay Strongwater,
Alexi Peacock Figurine 4in x 6in Frame,SPF5758-232,https://www.jaystrongwater.com/wedding/alexi-peacock-figurine-4-x-6-frame-spf5758-232,https://www.jaystrongwater.com/img/product/SPF5758-232_1-Z.jpg?fv=A7E383C7A2061A4A165D40DB16DD3CEE-96094,Alexi - our golden peacock sits proudly at the top of this gorgeous frame - his jeweled tail sparkling as it cascades all the way down. The original model is first carved in clay - then casted in pewter and finished in 14K Gold. Each peacock feather is hand-painted in translucent golden enamels and hand-set with hundreds of Swarovski crystals in shades of Champagne Topaz and White Opal. Our finest artisans at the Jay Strongwater Rhode Island workshop bring all the elements together to make each frame. With our signature - pierced back plate – this frame is truly beautiful from any view.  This frame stands vertically only.,2200,In Stock,Jay Strongwater,
Leonard Pave Corner  4in x 6in Frame,SPF5830-202,https://www.jaystrongwater.com/great-gifts-2/leonard-pave-corner-4-x-6-frame-spf5830-202,https://www.jaystrongwater.com/img/product/SPF5830-202-Z.jpg?fv=449E99FB8FAB546A5B49033E22BC5A90-82321, The art of meticulously hand blending ten colors of enamel paints a vivid rainbow around the Leonard Pave Corner Frame. Casted in pewter - finished in 14K gold - and hand-set with sparkling Swarovski champagne crystals. With our signature - all cream enamel back plate – this frame is truly beautiful from any view. ,395,In Stock,Jay Strongwater,
Floral Dinner Napkins - Set of 4,SDH2421-232,https://www.jaystrongwater.com/golden/floral-dinner-napkins-set-of-4-sdh2421-232,https://www.jaystrongwater.com/img/product/SDH2421-232_1-Z.jpg?fv=DC127F2F3B938F174CB019762AF5F143-56727,A part of our first collection of finely hand-embroidered linen napkins - our Golden Floral Dinner Napkins will bring sophistication to your next dining soiree. An antique textile pattern inspires the gold- - silver- - and cream-toned floral blossom design. Set of four.,395,In Stock,Jay Strongwater,
Danielle Vine Floral Vase,SDH2419-295,https://www.jaystrongwater.com/golden/danielle-vine-floral-vase-sdh2419-295,https://www.jaystrongwater.com/img/product/SDH2419-295_1-Z.jpg?fv=64658AA5905D8E130AE40A9414B9FF20-83116,With gilded grace - this lusciously handmade treasure is designed to be cherished. Lush - exuberant florals are hand-painted in mixed metallics on fluted - gold-edged glassware from Poland. Each Danielle Vine Floral Vase is decorated by hand and set with sparkling Swarovski® crystals.,495,In Stock,Jay Strongwater,
Jessa Vine Floral Small Bowl,SDH2436-295,https://www.jaystrongwater.com/vases-bowls/jessa-vine-floral-small-bowl-sdh2436-295,https://www.jaystrongwater.com/img/product/SDH2436-295_1-Z.jpg?fv=E7CA0D76D2B0E8E1C76BFC5837CF87DF-53450,With gilded grace - this lusciously handmade treasure is designed to be cherished. Lush - exuberant florals are hand-painted in mixed metallics on fluted - gold-edged glassware from Poland. Each Jessa Vine Floral Small Bowl is decorated by hand and set with sparkling Swarovski® crystals.,195,In Stock,Jay Strongwater,
Javier Golden Bejeweled 5in x 7in Frame,SPF5773-232,https://www.jaystrongwater.com/golden/javier-golden-bejeweled-5-x-7-frame-spf5773-232,https://www.jaystrongwater.com/img/product/SPF5773-232_w-Z.jpg?fv=E00CB671BC5BD86793EB8559E4B6CA19-119259,Bring home the warmth of the golden sun with the stunning Javier Bejeweled 5in x 7in Frame. Faceted crystal stones—set in hammered 14K-gold-finished settings—sparkle alongside golden layers of enamels. Individually forged from metal in Rhode Island and hand-painted in our New York workshop.,1500,In Stock,Jay Strongwater,
